user_2, 2017-08-28 00:00:01, home
user_3, 2017-08-28 00:00:01, home
user_3, 2017-08-28 19:25:16, relatives
user_2, 2017-08-28 20:24:00, bar
user_1, 2017-08-29 00:00:01, home
user_3, 2017-08-29 00:00:01, work
user_2, 2017-08-29 00:00:01, work
user_1, 2017-08-29 14:20:59, work
user_3, 2017-08-30 00:00:01, home
user_1, 2017-08-30 00:00:01, home
user_2, 2017-08-30 00:00:01, work
user_3, 2017-08-30 09:35:09, girlfriends
user_1, 2017-08-30 14:20:59, work
user_3, 2017-08-30 16:53:58, work
user_2, 2017-08-30 22:30:01, grocers
user_2, 2017-08-31 00:00:01, work
user_3, 2017-08-31 00:00:01, home
user_1, 2017-08-31 00:00:01, home
user_3, 2017-08-31 13:47:15, work
user_1, 2017-08-31 14:20:59, work
user_2, 2017-08-31 16:21:50, lunch
user_2, 2017-08-31 17:27:17, bar
user_2, 2017-09-01 00:00:01, work
user_1, 2017-09-01 00:00:01, home
user_3, 2017-09-01 00:00:01, home
user_3, 2017-09-01 13:24:26, work
user_1, 2017-09-01 14:20:59, work
user_3, 2017-09-01 23:20:17, lunch
user_3, 2017-09-02 00:00:01, home
user_2, 2017-09-02 00:00:01, girlfriends
user_1, 2017-09-02 00:00:01, lunch
user_3, 2017-09-02 00:00:01, bar
user_1, 2017-09-02 00:00:01, home
user_1, 2017-09-02 03:25:42, bar
user_2, 2017-09-02 11:30:11, work
user_1, 2017-09-02 14:20:59, work
user_2, 2017-09-02 20:01:26, lunch
user_2, 2017-09-02 20:35:31, bar
user_2, 2017-09-03 00:00:01, home
user_3, 2017-09-03 00:00:01, home
user_2, 2017-09-03 14:46:09, girlfriends
user_2, 2017-09-03 23:33:57, lunch
user_1, 2017-09-04 00:00:01, bar
user_3, 2017-09-04 00:00:01, home
user_3, 2017-09-04 19:25:16, relatives
user_3, 2017-09-05 00:00:01, home
user_1, 2017-09-05 00:00:01, home
user_2, 2017-09-05 00:00:01, work
user_1, 2017-09-05 12:21:42, work
user_3, 2017-09-05 13:47:15, work
user_2, 2017-09-05 17:08:35, bar
user_1, 2017-09-05 20:40:29, bar
user_1, 2017-09-06 00:00:01, home
user_2, 2017-09-06 00:00:01, work
user_3, 2017-09-06 00:00:01, home
user_3, 2017-09-06 13:24:26, work
user_1, 2017-09-06 14:20:59, work
user_2, 2017-09-06 17:08:35, bar
user_3, 2017-09-06 23:20:17, lunch
user_1, 2017-09-07 00:00:01, home
user_2, 2017-09-07 00:00:01, work
user_3, 2017-09-07 00:00:01, home
user_3, 2017-09-07 13:47:15, work
user_1, 2017-09-07 14:20:59, work
user_1, 2017-09-08 00:00:01, home
